pathway_id,vulnerability_type_label,response_diagnosis_type,policy_domain,policy_package,target_pressure_or_gap,core_variables,scenario_method,evidence_basis,evidence_strength,priority_score,countries_in_scope,expected_output,china_policy_translation,source_modules,rank_overall
ncd_diet_policy_类型2,类型2-低缓冲低承载型,按国家响应类型细分,风险治理,控盐、反式脂肪、含糖饮料和健康饮食政策执行,diet_salt_policy_execution=0.215,diet_salt_policy_execution / NCDCCS diet and salt policy questions,接入WHO NCD国家能力调查和NCD服务覆盖指标，识别政策执行/服务连续性短板,WHO GHO NCD bulk: NCD Country Capacity Survey 2013-2023 + hypertension/diabetes service coverage 1990-2022,政策能力 + 服务覆盖观测证据，不写成强因果效应,0.4608364219509533,48,提高政策执行能力或NCD连续服务覆盖，从响应侧降低适配缺口,用减盐、营养标签、含糖饮料税、食品营销治理强化膳食风险前移治理,B + C + D + WHO_NCD,1
risk_1_1,类型1-高负担转型承压型,按国家响应类型细分,风险治理,高血压筛查、控盐行动与基层连续用药,高收缩压,dbd_high_sbp_per100k,将主导风险设定为下降5%/10%/15%，按风险贡献份额折算综合压力下降,基于模块B风险贡献份额和模块D风险下降情景,风险归因 + 情景模拟证据,0.4385442796300536,97,降低combined_pressure_score，并进一步压低adaptation_gap_score,基层慢病筛查、家庭医生随访、控盐控油行动、基本药物可及性,B + D,2
ncd_governance_类型2,类型2-低缓冲低承载型,按国家响应类型细分,政策治理能力,国家NCD综合治理、目标体系、监测系统和跨部门机制补强,integrated_ncd_governance=0.445,integrated_ncd_governance / ncd_policy_capacity_score,接入WHO NCD国家能力调查和NCD服务覆盖指标，识别政策执行/服务连续性短板,WHO GHO NCD bulk: NCD Country Capacity Survey 2013-2023 + hypertension/diabetes service coverage 1990-2022,政策能力 + 服务覆盖观测证据，不写成强因果效应,0.3801408303948378,48,提高政策执行能力或NCD连续服务覆盖，从响应侧降低适配缺口,补齐NCD综合治理框架、目标指标、监测系统和跨部门执行机制,B + C + D + WHO_NCD,3
risk_1_2,类型1-高负担转型承压型,按国家响应类型细分,风险治理,控烟执法、戒烟服务与烟草流行监测,吸烟,dbd_smoking_per100k,将主导风险设定为下降5%/10%/15%，按风险贡献份额折算综合压力下降,"MPOWER DID: coef=-0.007975, p=0.5804, 谨慎解释",趋势性机制证据，不作为强因果锁定,0.3614169471801901,97,降低combined_pressure_score，并进一步压低adaptation_gap_score,控烟条例、无烟公共场所、戒烟门诊、青少年烟草预防,B + D,4
risk_1_3,类型1-高负担转型承压型,按国家响应类型细分,风险治理,糖尿病早筛、健康管理与并发症预防,高血糖,dbd_high_glucose_per100k,将主导风险设定为下降5%/10%/15%，按风险贡献份额折算综合压力下降,基于模块B风险贡献份额和模块D风险下降情景,风险归因 + 情景模拟证据,0.34050408251555014,97,降低combined_pressure_score，并进一步压低adaptation_gap_score,糖尿病筛查、社区随访、医防融合、医保慢病用药保障,B + D,5
ncd_diet_policy_类型1,类型1-高负担转型承压型,按国家响应类型细分,风险治理,控盐、反式脂肪、含糖饮料和健康饮食政策执行,diet_salt_policy_execution=0.526,diet_salt_policy_execution / NCDCCS diet and salt policy questions,接入WHO NCD国家能力调查和NCD服务覆盖指标，识别政策执行/服务连续性短板,WHO GHO NCD bulk: NCD Country Capacity Survey 2013-2023 + hypertension/diabetes service coverage 1990-2022,政策能力 + 服务覆盖观测证据，不写成强因果效应,0.3226494313635121,97,提高政策执行能力或NCD连续服务覆盖，从响应侧降低适配缺口,用减盐、营养标签、含糖饮料税、食品营销治理强化膳食风险前移治理,B + C + D + WHO_NCD,6
ncd_hypertension_cascade_类型2,类型2-低缓冲低承载型,按国家响应类型细分,服务覆盖,高血压诊断-治疗-控制连续服务提升,ncd_hypertension_control_pct=11.3%,ncd_hypertension_diagnosis_pct / ncd_hypertension_treatment_pct / ncd_hypertension_control_pct,接入WHO NCD国家能力调查和NCD服务覆盖指标，识别政策执行/服务连续性短板,WHO GHO NCD bulk: NCD Country Capacity Survey 2013-2023 + hypertension/diabetes service coverage 1990-2022,政策能力 + 服务覆盖观测证据，不写成强因果效应,0.32128978872817116,48,提高政策执行能力或NCD连续服务覆盖，从响应侧降低适配缺口,将高血压筛查、确诊、治疗、达标控制做成基层连续服务闭环,B + C + D + WHO_NCD,7
ncd_diet_policy_类型3,类型3-相对稳健型,按国家响应类型细分,风险治理,控盐、反式脂肪、含糖饮料和健康饮食政策执行,diet_salt_policy_execution=0.515,diet_salt_policy_execution / NCDCCS diet and salt policy questions,接入WHO NCD国家能力调查和NCD服务覆盖指标，识别政策执行/服务连续性短板,WHO GHO NCD bulk: NCD Country Capacity Survey 2013-2023 + hypertension/diabetes service coverage 1990-2022,政策能力 + 服务覆盖观测证据，不写成强因果效应,0.29114109929595894,48,提高政策执行能力或NCD连续服务覆盖，从响应侧降低适配缺口,用减盐、营养标签、含糖饮料税、食品营销治理强化膳食风险前移治理,B + C + D + WHO_NCD,8
ncd_governance_类型1,类型1-高负担转型承压型,按国家响应类型细分,政策治理能力,国家NCD综合治理、目标体系、监测系统和跨部门机制补强,integrated_ncd_governance=0.624,integrated_ncd_governance / ncd_policy_capacity_score,接入WHO NCD国家能力调查和NCD服务覆盖指标，识别政策执行/服务连续性短板,WHO GHO NCD bulk: NCD Country Capacity Survey 2013-2023 + hypertension/diabetes service coverage 1990-2022,政策能力 + 服务覆盖观测证据，不写成强因果效应,0.2882653689558369,97,提高政策执行能力或NCD连续服务覆盖，从响应侧降低适配缺口,补齐NCD综合治理框架、目标指标、监测系统和跨部门执行机制,B + C + D + WHO_NCD,9
ncd_diabetes_cascade_类型2,类型2-低缓冲低承载型,按国家响应类型细分,服务覆盖,糖尿病治疗覆盖与并发症筛查提升,ncd_diabetes_treatment_pct=23.0%,ncd_diabetes_treatment_pct / diabetes_policy_readiness,接入WHO NCD国家能力调查和NCD服务覆盖指标，识别政策执行/服务连续性短板,WHO GHO NCD bulk: NCD Country Capacity Survey 2013-2023 + hypertension/diabetes service coverage 1990-2022,政策能力 + 服务覆盖观测证据，不写成强因果效应,0.2804141387177545,48,提高政策执行能力或NCD连续服务覆盖，从响应侧降低适配缺口,推动糖尿病筛查、治疗覆盖、用药保障和并发症筛查联动,B + C + D + WHO_NCD,10
